name,N,nnz,nnz_per_row,csr_reuse_distance,num_diags,num_diag_elems,ratio_diag,num_ell_elems,ratio_ell,zero_rows,one_rows,two_rows,three_rows,four_rows,five_rows,small_rows,small_rows_elems,mean_diff_nnz,min_nnz_row,max_nnz_row,mean_nnz_row,vr_nnz_row,sd_nnz_row
c-50,22401,180245,8.046292,92.247772,22595,138687279,769.437593,85975038,476.989864,0.000000,0.000000,40.627651,1.995447,11.811973,7.526450,61.961521,21.391439,2.172009,2,1919,8.046292,418.532196,20.458059
c-67b,57975,530583,9.151928,96.375687,55595,823681495,1552.408379,264597900,498.692759,0.000000,0.000000,43.239326,3.191031,3.955153,10.566624,60.952133,17.996807,1.690965,2,2282,9.151928,1973.359863,44.422516
c-64b,51035,707601,13.865014,97.438248,50975,672011835,949.704473,967011180,1366.605163,0.000000,0.000000,44.234348,0.000000,4.293132,1.743901,50.271381,8.248151,2.955226,2,9474,13.865014,22130.480469,148.763168
c-62,41731,559341,13.403489,88.389549,46479,570682795,1020.277067,422317720,755.027291,0.000000,0.000000,34.914093,0.201289,6.647336,1.123865,42.886581,7.657762,4.236209,2,5060,13.403489,1177.623291,34.316517
c-28,4598,30590,6.652893,92.687149,4679,5800068,189.606669,3549656,116.039752,0.000000,0.000000,35.754677,4.567203,16.311440,4.132231,60.765549,25.720823,1.198608,2,386,6.652893,81.144547,9.008027
c-73,169422,1279274,7.550814,95.121529,155973,6323400918,4942.960553,-1,-0.000001,0.000000,0.000000,48.653069,0.042497,24.650282,1.310338,74.656181,26.829748,1.646779,2,39937,7.550814,22929.507812,151.424927
c-56,35910,380240,10.588694,95.745842,33267,310397874,816.320939,101266200,266.321797,0.000000,0.000000,40.406570,0.559733,7.644110,1.094403,49.704819,11.195035,2.223537,2,1410,10.588694,1028.761475,32.074310
c-24,4119,35699,8.666909,96.624557,3667,3935319,110.236113,1911216,53.536962,0.000000,0.000000,40.446709,0.000000,7.938820,0.485555,48.871086,13.277683,1.552210,2,232,8.666909,226.939651,15.064516
c-18,2169,15145,6.982481,94.618683,2239,1299767,85.821525,737460,48.693298,0.000000,0.000000,37.943752,2.259106,14.246197,4.149378,58.598431,22.971277,1.478321,2,170,6.982481,73.068924,8.548037
c-31,5339,78571,14.716426,97.551262,5261,7210867,91.775172,4890524,62.243372,0.000000,0.000000,41.356060,0.000000,3.764750,0.299682,45.420490,6.745492,1.552079,2,458,14.716426,895.649353,29.927401
c-25,3797,49635,13.072163,95.980659,4235,5005583,100.847849,4556400,91.798126,0.000000,0.000000,30.892811,0.158019,1.158810,1.948907,34.158546,5.862798,2.113541,2,600,13.072163,400.975433,20.024370
c-34,6611,64333,9.731206,94.540901,7109,12955419,201.380613,11397364,177.162016,0.000000,0.000000,34.230827,0.030253,9.075783,0.816820,44.153683,11.194877,1.537519,2,862,9.731206,290.388184,17.040779
c-43,11125,123659,11.115416,96.698181,11103,31571281,255.309205,58295000,471.417365,0.000000,0.000000,44.782021,0.916854,3.029213,1.600000,50.328091,10.114913,2.332345,2,2620,11.115416,5271.163086,72.602776
c-47,15343,211401,13.778336,96.746468,15335,67226267,318.003543,65453238,309.616501,0.000000,0.000000,40.819920,2.985075,9.900280,0.586587,54.291859,9.662206,6.388998,2,2133,13.778336,1512.852661,38.895405
c-51,23196,203048,8.753578,91.330620,23987,145932230,718.708039,72835440,358.710453,0.000000,0.000000,38.851524,3.190205,10.609588,2.728919,55.380238,16.376915,1.677775,2,1570,8.753578,331.100952,18.196180
c-54,31793,385987,12.140629,96.148315,30421,247189805,640.409664,114963488,297.842901,0.000000,0.000000,40.037113,0.710848,4.255654,0.471802,45.475418,8.367640,2.192816,2,1808,12.140629,1363.906860,36.931110
c-44,10728,85000,7.923192,91.925880,11019,31160130,366.589765,16735680,196.890353,0.000000,0.000000,37.844891,3.150634,13.674497,5.313199,59.983223,21.002354,1.880302,2,780,7.923192,164.316513,12.818601
c-22,3792,28870,7.613397,94.527191,3765,3667064,127.019882,1577472,54.640526,0.000000,0.000000,42.220463,1.081224,9.071730,1.845992,54.219410,17.495670,1.364811,2,208,7.613397,158.881927,12.604837
c-65,48066,360428,7.498606,90.859200,49345,628159246,1742.814781,314928432,873.762394,0.000000,0.000000,38.180836,4.015312,13.872592,6.052095,62.120834,23.225443,1.562259,2,3276,7.498606,357.591064,18.910078
c-64,51035,707985,13.872539,97.439636,50975,672011835,949.189368,967011180,1365.863938,0.000000,0.000000,44.234348,0.000000,4.293132,1.743901,50.271381,8.243677,2.947701,2,9474,13.872539,22166.816406,148.885239
c-67,57975,530229,9.145822,96.372887,55481,823300969,1552.727159,264597900,499.025704,0.000000,0.000000,43.544632,2.885727,3.955153,10.566624,60.952133,17.975441,1.694001,2,2282,9.145822,1963.010986,44.305882
c-38,8127,77689,9.559370,94.381447,8535,19535233,251.454299,14449806,185.995521,0.000000,0.000000,37.270824,0.000000,0.344531,0.762889,38.378246,8.340949,1.847280,2,889,9.559370,272.211945,16.498846
c-23,3969,31079,7.830436,94.365967,3973,4341767,139.700988,5199390,167.295923,0.000000,0.000000,40.791130,1.461325,1.461325,0.755858,44.469639,12.207600,1.652470,2,655,7.830436,224.152527,14.971725
c-49,21132,157040,7.431384,90.864746,21833,123643448,787.337290,64748448,412.305451,0.000000,0.000000,36.480221,3.998675,14.821124,5.546091,60.846111,23.141237,1.710567,2,1532,7.431384,208.857697,14.451910
c-30,5321,65693,12.345987,98.132217,5205,6784069,103.269283,22454620,341.811456,0.000000,0.000000,46.946064,0.037587,4.378876,0.000000,51.362526,9.032926,1.878571,2,2110,12.345987,5569.844238,74.631386
c-73b,169422,1279274,7.550814,95.121529,155973,6323400918,4942.960553,-1,-0.000001,0.000000,0.000000,48.653069,0.042497,24.650282,1.310338,74.656181,26.829748,1.646779,2,39937,7.550814,22929.507812,151.424927
c-33,6317,56123,8.884439,96.475601,6139,10031775,178.746236,12457124,221.961121,0.000000,0.000000,38.673420,0.031661,10.511318,1.044800,50.261200,14.037025,1.317289,2,986,8.884439,1202.473511,34.676701
c-57,37833,403373,10.661936,96.572655,36545,341979401,847.799434,787077732,1951.240495,0.000000,0.000000,45.764278,0.338329,2.140988,2.082838,50.326435,10.459798,2.180482,2,10402,10.661936,18097.318359,134.526276
c-35,6537,62891,9.620774,94.216980,6785,13473163,214.230383,12603336,200.399676,0.000000,0.000000,32.078934,0.489521,1.315588,1.376778,35.260822,8.083828,1.676714,2,964,9.620774,232.229019,15.239062
c-27,4563,30927,6.777778,92.731270,4557,5774241,186.705500,3367494,108.885246,0.000000,0.000000,39.009422,2.454525,13.346482,4.689897,59.500328,23.933779,1.432705,2,369,6.777778,108.618958,10.422042
c-45,13206,174452,13.210056,98.274597,12703,40422268,231.709972,59215704,339.438378,0.000000,0.000000,44.661518,0.000000,4.301075,1.575042,50.537636,8.660262,1.735327,2,2242,13.210056,7243.474121,85.108604
2D_54019_highK,54019,486129,8.999223,97.027328,4306,222345998,457.380650,1836646,3.778104,0.000000,12.821415,0.431330,0.003702,0.127733,1.777153,15.161332,2.565986,3.027121,1,17,8.999223,15.846450,3.980760
ibm_matrix_2,51448,537038,10.438462,96.009407,3032,93112009,173.380671,41775776,77.789237,0.000000,10.056756,3.055512,0.000000,0.000000,0.054424,13.166693,1.574935,3.377379,1,406,10.438462,24.065363,4.905646
matrix_9,103430,1205518,11.655399,97.342796,1372,71961124,59.693114,2896040,2.402320,0.000000,2.616262,1.307164,0.000000,0.000000,0.000000,3.923426,0.448770,3.219668,1,14,11.655399,9.788184,3.128607
matrix-new_3,125329,893984,7.133098,95.662224,4978,374105326,418.469823,3509212,3.925363,0.000000,33.980961,3.246655,0.000000,0.006383,0.138835,37.372833,5.775047,3.235598,1,14,7.133098,26.815126,5.178332
3D_28984_Tetra,28984,285092,9.836185,95.675079,1933,40402645,141.717919,7361936,25.823019,0.000000,16.402153,2.732542,0.000000,0.000000,0.082804,19.217499,2.265234,3.693579,1,127,9.836185,26.161991,5.114880
3D_51448_3D,51448,537038,10.438462,96.009407,3032,93112009,173.380671,41775776,77.789237,0.000000,10.056756,3.055512,0.000000,0.000000,0.054424,13.166693,1.574935,3.377379,1,406,10.438462,24.065363,4.905646
2D_27628_bjtcai,27628,206670,7.480454,96.564575,989,26410841,127.792331,2707544,13.100808,0.000000,22.940495,0.079629,0.007239,0.499493,10.040539,33.567394,10.069193,2.817353,1,49,7.480454,19.309534,4.394261
sme3Db,29067,2081063,71.595383,69.990913,57465,844681693,405.889535,20056230,9.637493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.118489,24,345,71.595383,1373.914795,37.066357
problem1,415,2779,6.696385,95.106155,395,120257,43.273480,7470,2.688017,0.000000,0.000000,0.000000,0.000000,0.963855,11.807229,12.771085,9.391868,1.094203,4,9,6.696385,1.040350,1.019975
poisson3Da,13514,352762,26.103449,61.579197,26133,182360266,516.949859,2973080,8.428005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.231481,6,110,26.103449,189.491028,13.765574
poisson2D,367,2417,6.585831,96.855606,609,124349,51.447662,6606,2.733140,0.000000,0.000000,0.000000,0.544959,7.356948,6.811989,14.713897,9.888291,1.079235,3,9,6.585831,1.365251,1.168439
sme3Da,12504,874887,69.968567,82.857330,24717,156313136,178.666658,8627760,9.861571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.353355,24,345,69.968567,1219.999146,34.928486
sme3Dc,42930,3148656,73.343956,63.780739,84775,1842474228,585.162123,34773300,11.043855,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.932750,24,405,73.343956,1368.405640,36.991966
poisson3Db,85623,2374949,27.737278,40.212025,167689,7324890347,3084.230586,24830670,10.455243,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.304548,6,145,27.737278,216.210526,14.704099
ns3Da,20414,1679599,82.276817,72.417046,40671,416718544,248.105973,12493368,7.438304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.249939,9,306,82.276817,1927.306396,43.901096
hugetrace-00020,16002413,47997626,2.999399,59.056416,9823812,112562197632592,2345161.771805,96014478,2.000401,0.000000,0.000000,0.060072,99.939926,0.000000,0.000000,100.000000,100.000000,0.000938,2,3,2.999399,0.000600,0.024496
wing_nodal,10937,150976,13.804151,37.193993,18498,115205940,763.074528,612472,4.056751,0.000000,0.000000,0.000000,0.000000,0.000000,0.045716,0.045716,0.016559,2.200439,5,28,13.804151,8.187453,2.861373
hugetrace-00000,4588484,13758266,2.998434,71.314117,3673672,10305691097532,749054.502765,27530904,2.001045,0.000000,0.000000,0.156609,99.843391,0.000000,0.000000,100.000000,100.000000,0.002440,2,3,2.998434,0.001561,0.039514
al2010,252266,1230482,4.877717,43.991543,58240,12773566216,10380.945204,38344432,31.162123,0.000000,2.839067,10.947175,17.600470,26.758263,15.146314,73.291290,53.365025,2.681062,1,76,4.877717,9.558677,3.091711
pa2010,421545,2058462,4.883137,54.027180,64936,24247882680,11779.611516,53957760,26.212658,0.000000,2.070953,6.846244,15.484705,32.373055,17.520550,74.295509,57.199406,2.338218,1,64,4.883137,6.911795,2.629029
